Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
429900,396990,373000,448000,,217 Custer Trl,4,3,2406,179,7,0.27,Acres,1992,13,,https://www.movoto.com/home/217-custer-trl-cary-nc-27513-413_2336581
282500,,268000,321000,,202 Carrousel Ln,3,3,1606,176,8,6098,Sqft,1994,0,,https://www.movoto.com/home/202-carrousel-ln-cary-nc-27513-413_2336292
370000,414600,370000,475000,,231 Churchview St,4,3,2764,134,8,3485,Sqft,2006,131,,https://www.movoto.com/home/231-churchview-st-cary-nc-27513-413_2336279
299900,263720,232000,322000,,103 Lonesome Pine Dr,3,2,1388,,,,,,,,https://www.movoto.com/home/103-lonesome-pine-dr-cary-nc-27513-413_2336066
450000,417615,397000,456000,,501 Legault Dr,4,3,2531,,,,,,,,https://www.movoto.com/home/501-legault-dr-cary-nc-27513-413_2336023
469500,508035,403000,576000,,106 Trinity Grove Dr,4,3,3079,152,12,9583,Sqft,2005,52,,https://www.movoto.com/home/106-trinity-grove-dr-cary-nc-27513-413_2335817
375000,453180,376000,498000,,125 Joel Ct,4,3,2490,,,,,,,,https://www.movoto.com/home/125-joel-ct-cary-nc-27513-413_2335656
350000,482220,349000,595000,,806 Roanoke Dr,5,3,2565,136,13,0.34,Acres,1976,0,,https://www.movoto.com/home/806-roanoke-dr-cary-nc-27513-413_2254930
419900,396165,372000,447000,,212 Custer Trl,4,3,2401,,,,,,,,https://www.movoto.com/home/212-custer-trl-cary-nc-27513-413_2335385
330000,345114,296000,424000,,106 Smallwood Ct,3,3,1826,181,15,0.34,Acres,1984,0,,https://www.movoto.com/home/106-smallwood-ct-cary-nc-27513-413_2334934
329000,325424,288000,352000,,110 Bebington Dr,3,3,1892,174,19,7405,Sqft,1993,13,,https://www.movoto.com/home/110-bebington-dr-cary-nc-27513-413_2334237
350000,475456,349000,517000,,102 Springwater Ct,4,3,2584,135,20,7841,Sqft,1991,10,,https://www.movoto.com/home/102-springwater-ct-cary-nc-27513-413_2334154
296500,317680,241000,388000,,104 Miramar Ct,3,2,1672,177,20,0.28,Acres,1989,15,,https://www.movoto.com/home/104-miramar-ct-cary-nc-27513-413_2333941
469900,,373000,469000,,125 Hidden Rock Ct,4,3,2828,,,,,,,,https://www.movoto.com/home/125-hidden-rock-ct-cary-nc-27513-413_2333894
399999,358179,300000,442000,,110 Carpenter Town Ln,3,3,2001,200,22,6098,Sqft,1998,69,,https://www.movoto.com/home/110-carpenter-town-ln-cary-nc-27513-413_2333568
324900,308000,271000,350000,,309 Gregory Dr,3,3,1750,186,26,9148,Sqft,1986,0,,https://www.movoto.com/home/309-gregory-dr-cary-nc-27513-413_2332925
295000,278024,218000,351000,,101 Flintlock Ct,3,3,1511,195,26,0.32,Acres,1985,0,,https://www.movoto.com/home/101-flintlock-ct-cary-nc-27513-413_2332864
320000,400065,320000,418000,,122 Canterfield Rd,3,3,2235,,,,,,,,https://www.movoto.com/home/122-canterfield-rd-cary-nc-27513-413_2332826
335000,312984,292000,338000,,116 Haddonfield Ln,3,3,1944,172,27,6098,Sqft,1994,15,,https://www.movoto.com/home/116-haddonfield-ln-cary-nc-27513-413_2332723
400000,,399000,488000,25000,605 Kingswood Dr,4,3,2611,,,,,,,,https://www.movoto.com/home/605-kingswood-dr-cary-nc-27513-pid_w8wy43b5jh
345000,333822,302000,353000,,102 N Woodshed Ct,4,3,1886,183,27,0.33,Acres,1985,0,,https://www.movoto.com/home/102-n-woodshed-ct-cary-nc-27513-413_2234534
299000,292410,257000,357000,,100 Ridge Hollow Ct,3,3,1539,194,27,8276,Sqft,1991,0,,https://www.movoto.com/home/100-ridge-hollow-ct-cary-nc-27513-413_2332603
484900,483408,394000,624000,,303 Bradwyck Dr,5,3,2984,163,27,0.56,Acres,1997,13,,https://www.movoto.com/home/303-bradwyck-dr-cary-nc-27513-413_2332578
205000,249920,204000,283000,,104 Joanne Cir,3,3,1420,144,30,1742,Sqft,1985,140,,https://www.movoto.com/home/104-joanne-cir-cary-nc-27513-413_2227483
325000,342995,316000,373000,,108 Cameron Ct,3,2,1895,,,,,,,,https://www.movoto.com/home/108-cameron-ct-cary-nc-27513-413_2331355
350000,382670,297000,522000,,211 Lost Tree Ln,3,3,2251,,,,,,,,https://www.movoto.com/home/211-lost-tree-ln-cary-nc-27513-413_2330401
365000,,364000,451000,10000,116 Silverridge Ct,4,4,2413,,,,,,,,https://www.movoto.com/home/116-silverridge-ct-cary-nc-27513-413_2330398
489000,416208,390000,488000,10000,213 Oakmere Dr,3,4,2668,183,40,0.26,Acres,2018,78,,https://www.movoto.com/home/213-oakmere-dr-cary-nc-27513-413_2330095
359900,357398,310000,400000,,118 Mariposa Dr,4,3,2153,,,,,,,,https://www.movoto.com/home/118-mariposa-dr-cary-nc-27513-413_2186120
425000,439584,382000,471000,,106 Barons Glenn Way,4,3,2892,,,,,,,,https://www.movoto.com/home/106-barons-glenn-way-cary-nc-27513-413_2329849
