Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
429900,392178,373000,431000,,217 Custer Trl,4,3,2406,179,5,0.27,Acres,1992,13,,https://www.movoto.com/home/217-custer-trl-cary-nc-27513-413_2336581
282500,,268000,321000,,202 Carrousel Ln,3,3,1606,176,6,6098,Sqft,1994,0,,https://www.movoto.com/home/202-carrousel-ln-cary-nc-27513-413_2336292
370000,414600,370000,475000,,231 Churchview St,4,3,2764,,,,,,,,https://www.movoto.com/home/231-churchview-st-cary-nc-27513-413_2336279
299900,227632,215000,300000,,103 Lonesome Pine Dr,3,2,1388,216,9,8276,Sqft,1992,13,,https://www.movoto.com/home/103-lonesome-pine-dr-cary-nc-27513-413_2336066
450000,417615,397000,456000,,501 Legault Dr,4,3,2531,178,9,0.30,Acres,1996,13,,https://www.movoto.com/home/501-legault-dr-cary-nc-27513-413_2336023
469500,501877,403000,576000,,106 Trinity Grove Dr,4,3,3079,152,10,9583,Sqft,2005,52,,https://www.movoto.com/home/106-trinity-grove-dr-cary-nc-27513-413_2335817
375000,450690,376000,483000,,125 Joel Ct,4,3,2490,151,11,9148,Sqft,1985,3,,https://www.movoto.com/home/125-joel-ct-cary-nc-27513-413_2335656
350000,454005,349000,480000,,806 Roanoke Dr,5,3,2565,,,,,,,,https://www.movoto.com/home/806-roanoke-dr-cary-nc-27513-413_2254930
419900,381759,372000,420000,,212 Custer Trl,4,3,2401,175,12,0.27,Acres,1990,13,,https://www.movoto.com/home/212-custer-trl-cary-nc-27513-413_2335385
330000,314072,296000,341000,,106 Smallwood Ct,3,3,1826,181,14,0.34,Acres,1984,0,,https://www.movoto.com/home/106-smallwood-ct-cary-nc-27513-413_2334934
329000,334884,288000,390000,,110 Bebington Dr,3,3,1892,174,17,7405,Sqft,1993,13,,https://www.movoto.com/home/110-bebington-dr-cary-nc-27513-413_2334237
350000,472872,349000,517000,,102 Springwater Ct,4,3,2584,135,18,7841,Sqft,1991,10,,https://www.movoto.com/home/102-springwater-ct-cary-nc-27513-413_2334154
296500,284240,263000,333000,,104 Miramar Ct,3,2,1672,,,,,,,,https://www.movoto.com/home/104-miramar-ct-cary-nc-27513-413_2333941
469900,,373000,469000,,125 Hidden Rock Ct,4,3,2828,166,19,0.49,Acres,1995,0,,https://www.movoto.com/home/125-hidden-rock-ct-cary-nc-27513-413_2333894
399999,358179,300000,442000,,110 Carpenter Town Ln,3,3,2001,,,,,,,,https://www.movoto.com/home/110-carpenter-town-ln-cary-nc-27513-413_2333568
324900,304500,261000,350000,,309 Gregory Dr,3,3,1750,186,24,9148,Sqft,1986,0,,https://www.movoto.com/home/309-gregory-dr-cary-nc-27513-413_2332925
295000,247804,237000,295000,,101 Flintlock Ct,3,3,1511,195,24,0.32,Acres,1985,0,,https://www.movoto.com/home/101-flintlock-ct-cary-nc-27513-413_2332864
320000,386655,320000,418000,,122 Canterfield Rd,3,3,2235,143,25,10019,Sqft,1987,0,,https://www.movoto.com/home/122-canterfield-rd-cary-nc-27513-413_2332826
335000,340200,295000,400000,,116 Haddonfield Ln,3,3,1944,172,25,6098,Sqft,1994,15,,https://www.movoto.com/home/116-haddonfield-ln-cary-nc-27513-413_2332723
400000,,389000,488000,25000,605 Kingswood Dr,4,3,2611,153,25,0.27,Acres,1992,0,,https://www.movoto.com/home/605-kingswood-dr-cary-nc-27513-pid_w8wy43b5jh
345000,333822,302000,353000,,102 N Woodshed Ct,4,3,1886,183,25,0.33,Acres,1985,0,,https://www.movoto.com/home/102-n-woodshed-ct-cary-nc-27513-413_2234534
299000,263169,242000,299000,,100 Ridge Hollow Ct,3,3,1539,194,25,8276,Sqft,1991,0,,https://www.movoto.com/home/100-ridge-hollow-ct-cary-nc-27513-413_2332603
484900,483408,394000,624000,,303 Bradwyck Dr,5,3,2984,163,25,0.56,Acres,1997,13,,https://www.movoto.com/home/303-bradwyck-dr-cary-nc-27513-413_2332578
205000,225780,204000,249000,,104 Joanne Cir,3,3,1420,144,28,1742,Sqft,1985,140,,https://www.movoto.com/home/104-joanne-cir-cary-nc-27513-413_2227483
325000,346785,316000,373000,,108 Cameron Ct,3,2,1895,172,32,8712,Sqft,1980,28,,https://www.movoto.com/home/108-cameron-ct-cary-nc-27513-413_2331355
350000,344403,297000,367000,,211 Lost Tree Ln,3,3,2251,155,37,0.38,Acres,1994,7,,https://www.movoto.com/home/211-lost-tree-ln-cary-nc-27513-413_2330401
365000,,364000,451000,10000,116 Silverridge Ct,4,4,2413,151,37,0.30,Acres,1992,14,,https://www.movoto.com/home/116-silverridge-ct-cary-nc-27513-413_2330398
489000,416208,390000,488000,10000,213 Oakmere Dr,3,4,2668,183,38,0.26,Acres,2018,78,,https://www.movoto.com/home/213-oakmere-dr-cary-nc-27513-413_2330095
359900,376775,338000,428000,,118 Mariposa Dr,4,3,2153,167,39,0.28,Acres,1990,15,,https://www.movoto.com/home/118-mariposa-dr-cary-nc-27513-413_2186120
425000,439584,382000,471000,,106 Barons Glenn Way,4,3,2892,147,39,0.38,Acres,1994,13,,https://www.movoto.com/home/106-barons-glenn-way-cary-nc-27513-413_2329849
