Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
Coming Soon - 08/07,474900,467885,452000,489000,0,307 Cranborne Ln,4,3,2585,184,Listed Today,0.30,Acres,1995,55, ,https://www.movoto.com/home/307-cranborne-ln-cary-nc-27519-413_2335856
Coming Soon - 08/07,444900,500580,423000,603000,0,105 Aspen Hollow Ct,4,3,3090,144,Listed Today,0.31,Acres,1997,0, ,https://www.movoto.com/home/105-aspen-hollow-ct-cary-nc-27518-413_2320329
FOR SALE,469500,486482,403000,545000,0,106 Trinity Grove Dr,4,3,3079,152,Listed Today,9583,Sqft,2005,52, ,https://www.movoto.com/home/106-trinity-grove-dr-cary-nc-27513-413_2335817
Coming Soon - 08/07,370000,362400,326000,425000,0,804 Transom View Way,3,3,2400,154,Listed Today,5227,Sqft,2013,190, ,https://www.movoto.com/home/804-transom-view-way-cary-nc-27519-413_2335805
FOR SALE,389900,330000,326000,389000,0,323 Stromer Dr,4,3,2200,177,Listed Today,0.25,Acres,1995,0,Open 8/8,https://www.movoto.com/home/323-stromer-dr-cary-nc-27513-413_2335797
FOR SALE,339900,0,340000,362000,0,509 Catlin Rd,4,3,1934,176,Listed Today,0.35,Acres,1994,17,Open 8/8,https://www.movoto.com/home/509-catlin-rd-cary-nc-27519-413_2335786
FOR SALE,495975,444690,374000,496000,0,2905 Hampton Hedge Lane #70 - HARLEY A-2,3,3,2430,204,Listed Today,6098,Sqft,2020,89, ,https://www.movoto.com/home/2905-hampton-hedge-lane-apt-70-harley-a-2-cary-nc-27519-413_2335766
FOR SALE,425000,376861,295000,518000,0,241 Elverson Pl,3,2,1913,222,Listed Today,6534,Sqft,2011,231, ,https://www.movoto.com/home/241-elverson-pl-cary-nc-27519-413_2335753
Coming Soon - 08/07,439000,390784,336000,448000,0,557 Angelica Cir,3,3,2272,193,Listed Today,4138,Sqft,2017,266, ,https://www.movoto.com/home/557-angelica-cir-cary-nc-27518-413_2335695
Coming Soon - 08/06,375000,438240,376000,441000,0,125 Joel Ct,4,3,2490,151,Listed Today,9148,Sqft,1985,3, ,https://www.movoto.com/home/125-joel-ct-cary-nc-27513-413_2335656
FOR SALE,350900,370107,351000,391000,0,107 Carswell Ln,3,3,2091,168,1,10454,Sqft,1999,0, ,https://www.movoto.com/home/107-carswell-ln-cary-nc-27519-413_2335556
FOR SALE,430000,0,366000,639000,0,920 Bentbury Way,5,3,3002,143,1,6534,Sqft,2010,65,Open 8/8,https://www.movoto.com/home/920-bentbury-way-cary-nc-27518-413_2215229
FOR SALE,380665,409188,360000,438000,0,320 Clementine Dr #9,4,4,2236,170,3,1873,Sqft,2020,141, ,https://www.movoto.com/home/320-clementine-dr-apt-9-cary-nc-27519-413_2335018
Coming Soon - 08/03,330000,279378,248000,331000,0,106 Smallwood Ct,3,3,1826,181,3,0.34,Acres,1984,0, ,https://www.movoto.com/home/106-smallwood-ct-cary-nc-27513-413_2334934
FOR SALE,345000,337084,310000,356000,0,291 High Meadow Dr,3,2,2068,167,10,0.27,Acres,1978,28, ,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
Coming Soon - 07/23,340000,0,340000,446000,0,111 Canyon Run,3,3,2300,148,14,7841,Sqft,1991,14, ,https://www.movoto.com/home/111-canyon-run-cary-nc-27513-413_2332839
FOR SALE,419900,439569,419000,484000,0,1519 Gathering Park Cir #7,3,4,2601,161,45,2352,Sqft,2019,261, ,https://www.movoto.com/home/1519-gathering-park-cir-apt-7-cary-nc-27519-413_2292539
FOR SALE,299900,220224,170000,300000,0,2601 Pink Acres St,3,2,1184,253,150,0.59,Acres,1960,0, ,https://www.movoto.com/home/2601-pink-acres-st-cary-nc-27518-413_2306811
