Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
429900,498996,430000,556000,,110 Priestly Ct,4,3,2988,144,8,10019,Sqft,2004,40,,https://www.movoto.com/home/110-priestly-ct-morrisville-nc-27560-413_2334461
349000,282605,251000,349000,,207 Mona Lisa Ln,3,2,1949,179,10,5227,Sqft,2019,41,,https://www.movoto.com/home/207-mona-lisa-ln-morrisville-nc-27560-413_2333878
268000,254939,241000,272000,,1012 Delight Dr,3,3,1711,157,15,1960,Sqft,2018,140,,https://www.movoto.com/home/1012-delight-dr-morrisville-nc-27560-413_2332873
344000,394823,345000,447000,,311 Mainline Station Dr,4,4,2761,125,16,5750,Sqft,2010,35,,https://www.movoto.com/home/311-mainline-station-dr-morrisville-nc-27560-413_2332681
429900,561132,432000,586000,,1413 Hemby Ridge Ln,4,3,3597,120,17,6534,Sqft,2008,70,,https://www.movoto.com/home/1413-hemby-ridge-ln-morrisville-nc-27560-413_2199548
325000,,284000,326000,,1012 Excite Ave,3,3,2000,163,23,2962,Sqft,2019,140,,https://www.movoto.com/home/1012-excite-ave-morrisville-nc-27560-413_2331243
365000,,365000,462000,20000,1421 Hopedale Dr #45,3,4,2309,158,25,2265,Sqft,2020,90,,https://www.movoto.com/home/1421-hopedale-dr-apt-45-morrisville-nc-27560-413_2330715
240000,245726,236000,256000,,208 Tylerway Ln,3,3,1454,165,29,1742,Sqft,2003,132,,https://www.movoto.com/home/208-tylerway-ln-morrisville-nc-27560-413_2330300
469900,506196,450000,574000,,108 Legislative Pl,4,3,2943,160,30,9583,Sqft,2010,40,,https://www.movoto.com/home/108-legislative-pl-morrisville-nc-27560-413_2330045
300000,354888,296000,378000,,1100 Checkerberry Dr,3,3,1908,157,30,3485,Sqft,2008,145,,https://www.movoto.com/home/1100-checkerberry-dr-morrisville-nc-27560-413_2330016
389900,446880,391000,468000,,109 Cotten Square Ln,5,3,2660,147,30,5663,Sqft,2015,67,,https://www.movoto.com/home/109-cotten-square-ln-morrisville-nc-27560-413_2253582
469900,585480,470000,655000,10000,112 Carter Grove Ct,5,3,3485,135,36,6970,Sqft,2012,40,,https://www.movoto.com/home/112-carter-grove-ct-morrisville-nc-27560-413_2328974
294000,274914,244000,294000,,252 Durants Neck Ln,3,3,1697,173,36,2614,Sqft,2015,130,,https://www.movoto.com/home/252-durants-neck-ln-morrisville-nc-27560-413_2328960
244000,238950,215000,260000,,1812 Grace Point Rd,3,3,1475,165,39,2614,Sqft,2009,126,,https://www.movoto.com/home/1812-grace-point-rd-morrisville-nc-27560-413_2328136
314900,370461,315000,405000,,1013 Havenbrook Dr,4,4,2301,137,43,1742,Sqft,2012,158,,https://www.movoto.com/home/1013-havenbrook-dr-morrisville-nc-27560-413_2327577
328300,341642,327000,350000,,1048 Myers Point Dr,4,4,2122,155,43,1830,Sqft,2020,130,,https://www.movoto.com/home/1048-myers-point-dr-morrisville-nc-27560-413_2327328
325000,379838,325000,424000,,1046 Myers Point Dr,4,4,2122,153,44,1830,Sqft,2020,130,,https://www.movoto.com/home/1046-myers-point-dr-morrisville-nc-27560-413_2327137
444990,545680,445000,589000,,421 Willingham Rd,5,4,3590,124,45,5663,Sqft,2004,40,,https://www.movoto.com/home/421-willingham-rd-morrisville-nc-27560-413_2327006
