Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
389900,330000,326000,389000,0,323 Stromer Dr,4,3,2200,177,Listed Today,0.25,Acres,1995,0,Open 8/8,https://www.movoto.com/home/323-stromer-dr-cary-nc-27513-413_2335797
339900,0,325000,362000,0,509 Catlin Rd,4,3,1934,176,Listed Today,0.35,Acres,1994,17,Open 8/8,https://www.movoto.com/home/509-catlin-rd-cary-nc-27519-413_2335786
430000,0,366000,639000,0,920 Bentbury Way,5,3,3002,143,1,6534,Sqft,2010,65,Open 8/8,https://www.movoto.com/home/920-bentbury-way-cary-nc-27518-413_2215229
469900,471624,387000,540000,0,549 Angelica Cir,4,3,2742,171,1,4792,Sqft,2012,260,Open 8/8,https://www.movoto.com/home/549-angelica-cir-cary-nc-27518-413_2335434
275000,0,274000,361000,0,543 Berry Chase Way,3,4,1841,149,1,1307,Sqft,2013,175,Open 8/8,https://www.movoto.com/home/543-berry-chase-way-cary-nc-27519-413_2335424
350000,381464,258000,447000,0,703 Kildaire Farm Rd,5,3,2326,150,2,0.31,Acres,1966,0,Open 8/8,https://www.movoto.com/home/703-kildaire-farm-rd-cary-nc-27511-413_2335173
499900,585488,500000,637000,0,104 S Fern Abbey Ln,4,3,3404,147,5,0.25,Acres,1993,51,Open 8/8,https://www.movoto.com/home/104-s-fern-abbey-ln-cary-nc-27518-413_2334634
389900,358104,341000,389000,0,118 Bromfield Way,4,3,2082,187,14,0.30,Acres,1993,55,Open 8/8,https://www.movoto.com/home/118-bromfield-way-cary-nc-27519-413_2333027
305000,340680,306000,369000,0,812 N Harrison Ave,4,3,2040,150,14,0.30,Acres,1975,0,Open 8/8,https://www.movoto.com/home/812-n-harrison-ave-cary-nc-27513-413_2332967
439900,410817,367000,469000,10000,100 Queensferry Rd,4,3,2321,190,21,0.48,Acres,1978,8,Open 8/8,https://www.movoto.com/home/100-queensferry-rd-cary-nc-27511-413_2195485
469900,453900,379000,577000,0,737 Toms Creek Rd,4,3,2670,176,21,0.25,Acres,2015,99,Open 8/9,https://www.movoto.com/home/737-toms-creek-rd-cary-nc-27519-413_2331416
355000,0,334000,431000,10000,120 Franklin Hills Pt,3,3,2113,168,29,0.28,Acres,2007,187,Open 8/8,https://www.movoto.com/home/120-franklin-hills-pt-cary-nc-27519-413_2329783
465000,465120,435000,520000,4000,1016 Regency Cottage Pl,4,3,2720,171,150,5663,Sqft,2018,265,Open 8/8,https://www.movoto.com/home/1016-regency-cottage-pl-cary-nc-27518-413_2198538
495000,418600,356000,494000,50000,109 Putney Dr,4,3,2600,190,206,8015,Sqft,2021,40,Open 8/9,https://www.movoto.com/home/109-putney-dr-cary-nc-27518-413_2296285
