Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
215000,227520,196000,282000,,228 Blackbird Ct,3,3,1440,149,11,1307,Sqft,1999,81,,https://www.movoto.com/home/228-blackbird-ct-cary-nc-27511-413_2337353
245000,232050,173000,275000,,1218 Selwyn Ln,3,2,1275,192,12,7405,Sqft,1978,28,,https://www.movoto.com/home/1218-selwyn-ln-cary-nc-27511-413_2337111
289900,247800,227000,290000,,103 Tayport Ct,3,2,1400,207,12,0.40,Acres,2012,0,,https://www.movoto.com/home/103-tayport-ct-cary-nc-27511-413_2337031
349900,319181,293000,350000,,122 Flora Mcdonald Ln,3,3,2033,172,28,0.33,Acres,1979,28,,https://www.movoto.com/home/122-flora-mcdonald-ln-cary-nc-27511-413_2333750
375000,355124,332000,376000,,106 Farren Ct,3,3,2306,,,,,,,,https://www.movoto.com/home/106-farren-ct-cary-nc-27511-pid_7opy43b5jh
289000,287760,262000,324000,6000,207 Cape Cod Dr,3,3,1635,177,39,10019,Sqft,1994,14,,https://www.movoto.com/home/207-cape-cod-dr-cary-nc-27511-413_2331757
465000,466900,383000,539000,,109 Overview Ln,4,3,2900,,,,,,,,https://www.movoto.com/home/109-overview-ln-cary-nc-27511-413_2331057
274900,247494,216000,293000,10000,1203 Gatehouse Dr,3,2,1482,185,42,0.37,Acres,1976,0,,https://www.movoto.com/home/1203-gatehouse-dr-cary-nc-27511-413_2330957
320000,206388,183000,320000,,519 Ryan Rd,3,2,1274,,,,,,,,https://www.movoto.com/home/519-ryan-rd-cary-nc-27511-413_2329029
289900,,245000,304000,10000,210 Cape Cod Dr,3,3,1533,,,,,,,,https://www.movoto.com/home/210-cape-cod-dr-cary-nc-27511-pid_8pey43b5jh
335900,,313000,436000,3000,1051 Dunsford Pl,5,3,2369,142,84,0.35,Acres,1973,0,,https://www.movoto.com/home/1051-dunsford-pl-cary-nc-27511-413_2322706
