Size,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Value,Days,Lot,Unit,Year,HOA,Open,Link
2369,325000,395623,325000,436000,12000,607 SE Maynard Rd,6,3,137,64,0.33,Acres,1969,0,,https://www.movoto.com/home/607-se-maynard-rd-cary-nc-27511-413_2327346
2180,382500,318280,296000,382000,5000,110 Prestwick Pl,3,3,175,184,3049,Sqft,1984,340,,https://www.movoto.com/home/110-prestwick-pl-cary-nc-27511-413_2261077
2150,282400,320350,282000,359000,3000,106 Silver Fox Ct,4,2,131,111,6098,Sqft,1987,14,,https://www.movoto.com/home/106-silver-fox-ct-cary-nc-27511-413_2239594
2132,350000,347516,309000,433000,,1119 Ralph Dr,4,3,164,114,0.55,Acres,1974,0,,https://www.movoto.com/home/1119-ralph-dr-cary-nc-27511-pid_5qsy43b5jh
2127,345000,363717,340000,421000,15000,1304 Lake Pine Dr,4,2,162,60,0.33,Acres,1973,0,,https://www.movoto.com/home/1304-lake-pine-dr-cary-nc-27511-413_2328019
2093,335000,359996,335000,385000,,911 Balmoral Dr,3,3,160,6,0.28,Acres,1989,0,,https://www.movoto.com/home/911-balmoral-dr-cary-nc-27511-413_2338798
2068,335000,355696,331000,381000,10000,291 High Meadow Dr,3,2,,,,,,,,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
2002,319000,318318,274000,386000,,1126 Manchester Dr,4,3,159,2,0.52,Acres,1973,0,Open 8/30,https://www.movoto.com/home/1126-manchester-dr-cary-nc-27511-413_2257545
1738,315000,,278000,346000,,1616 Burnley Dr,4,3,181,2,0.28,Acres,1978,0,Open 8/30,https://www.movoto.com/home/1616-burnley-dr-cary-nc-27511-413_2339621
1675,227000,256275,221000,328000,1000,107 Clancy Cir,3,3,136,14,3920,Sqft,1984,361,Open 8/30,https://www.movoto.com/home/107-clancy-cir-cary-nc-27511-413_2241220
1588,315000,263608,254000,314000,,1607 Dunblane Ct,4,2,,,,,,,,https://www.movoto.com/home/1607-dunblane-ct-cary-nc-27511-413_2337121
1452,210000,,192000,285000,,201 Virens Dr,3,3,145,2,1307,Sqft,1998,81,Open 8/30,https://www.movoto.com/home/201-virens-dr-cary-nc-27511-413_2339668
1364,179900,235972,180000,267000,,1020 Randolph Ct,3,3,132,2,1742,Sqft,1974,170,,https://www.movoto.com/home/1020-randolph-ct-cary-nc-27511-413_2339417
1342,269900,248270,217000,270000,,201 Glen Bonnie Ln,3,2,201,1,10454,Sqft,1979,28,Open 8/30,https://www.movoto.com/home/201-glen-bonnie-ln-cary-nc-27511-413_2339930
1289,208000,192061,175000,224000,,112 Charter Ct,3,3,161,32,1307,Sqft,1994,221,,https://www.movoto.com/home/112-charter-ct-cary-nc-27511-413_2333526
