Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
269900,248270,217000,270000,,201 Glen Bonnie Ln,3,2,1342,201,Listed Today,10454,Sqft,1979,28,,https://www.movoto.com/home/201-glen-bonnie-ln-cary-nc-27511-413_2339930
210000,,197000,285000,,201 Virens Dr,3,3,1452,,,,,,,Open 8/29,https://www.movoto.com/home/201-virens-dr-cary-nc-27511-413_2339668
315000,,278000,344000,,1616 Burnley Dr,4,3,1738,181,1,0.28,Acres,1978,0,Open 8/30,https://www.movoto.com/home/1616-burnley-dr-cary-nc-27511-413_2339621
319000,318318,274000,386000,,1126 Manchester Dr,4,3,2002,,,,,,,Open 8/29,https://www.movoto.com/home/1126-manchester-dr-cary-nc-27511-413_2257545
179900,235972,180000,267000,,1020 Randolph Ct,3,3,1364,132,1,1742,Sqft,1974,170,,https://www.movoto.com/home/1020-randolph-ct-cary-nc-27511-413_2339417
335000,368368,335000,414000,,911 Balmoral Dr,3,3,2093,160,5,0.28,Acres,1989,0,,https://www.movoto.com/home/911-balmoral-dr-cary-nc-27511-413_2338798
227000,276375,228000,328000,1000,107 Clancy Cir,3,3,1675,136,13,3920,Sqft,1984,361,Open 8/29,https://www.movoto.com/home/107-clancy-cir-cary-nc-27511-413_2241220
469900,610408,469000,670000,,205 King George Loop,5,4,3722,126,13,0.34,Acres,1986,14,,https://www.movoto.com/home/205-king-george-loop-cary-nc-27511-413_2337383
315000,263608,254000,314000,,1607 Dunblane Ct,4,2,1588,198,14,0.29,Acres,1976,0,,https://www.movoto.com/home/1607-dunblane-ct-cary-nc-27511-413_2337121
335000,355696,331000,381000,10000,291 High Meadow Dr,3,2,2068,,,,,,,,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
208000,193350,175000,232000,,112 Charter Ct,3,3,1289,,,,,,,Open 8/29,https://www.movoto.com/home/112-charter-ct-cary-nc-27511-413_2333526
345000,363717,340000,421000,15000,1304 Lake Pine Dr,4,2,2127,162,59,0.33,Acres,1973,0,,https://www.movoto.com/home/1304-lake-pine-dr-cary-nc-27511-413_2328019
325000,395623,325000,436000,12000,607 SE Maynard Rd,6,3,2369,,,,,,,,https://www.movoto.com/home/607-se-maynard-rd-cary-nc-27511-413_2327346
284900,350450,286000,452000,5000,106 Silver Fox Ct,4,2,2150,133,110,6098,Sqft,1987,14,,https://www.movoto.com/home/106-silver-fox-ct-cary-nc-27511-413_2239594
350000,321932,292000,350000,,1119 Ralph Dr,4,3,2132,,,,,,,,https://www.movoto.com/home/1119-ralph-dr-cary-nc-27511-pid_5qsy43b5jh
382500,340080,296000,392000,5000,110 Prestwick Pl,3,3,2180,175,183,3049,Sqft,1984,340,,https://www.movoto.com/home/110-prestwick-pl-cary-nc-27511-413_2261077
