Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
FOR SALE,444900,417888,389000,444000,,200 Danton Dr,4,4,2902,153,3,10019,Sqft,1995,15, ,https://www.movoto.com/home/200-danton-dr-cary-nc-27518-413_2331234
Coming Soon - 08/28,360000,331240,292000,408000,,111 Kemper Ln,3,3,1960,184,4,7405,Sqft,1998,101,Open 9/12,https://www.movoto.com/home/111-kemper-ln-cary-nc-27518-413_2339936
FOR SALE,344000,425592,341000,518000,,103 Tiercel Ct,3,2,2056,167,5,7841,Sqft,1985,13, ,https://www.movoto.com/home/103-tiercel-ct-cary-nc-27518-413_2311892
FOR SALE,409900,558558,411000,743000,,105 Durington Pl,4,3,3069,134,7,0.28,Acres,1990,52, ,https://www.movoto.com/home/105-durington-pl-cary-nc-27518-pid_jp4y43b5jh
FOR SALE,469900,415863,379000,487000,,101 Weatherly Pl,4,3,2829,166,8,0.43,Acres,1992,27, ,https://www.movoto.com/home/101-weatherly-pl-cary-nc-27518-413_2339053
Coming Soon - 08/25,324900,328650,239000,394000,,113 Tiercel Ct,3,2,1565,208,8,4792,Sqft,1985,13, ,https://www.movoto.com/home/113-tiercel-ct-cary-nc-27518-413_2339048
FOR SALE,480000,498451,449000,551000,,108 Glenrose Ln,4,3,3301,145,12,0.27,Acres,1990,51, ,https://www.movoto.com/home/108-glenrose-ln-cary-nc-27518-413_2338528
FOR SALE,355000,380680,334000,422000,15000,100 Royce Dr,4,3,2456,145,24,0.53,Acres,1994,16, ,https://www.movoto.com/home/100-royce-dr-cary-nc-27518-413_2211163
FOR SALE,399300,464402,394000,543000,5000,201 E Wind Ln,3,3,2609,153,32,4792,Sqft,1985,301, ,https://www.movoto.com/home/201-e-wind-ln-cary-nc-27518-413_2305406
FOR SALE,475000,521520,475000,579000,,613 Churton Pl,3,3,2120,,,,,,, ,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
FOR SALE,459900,395808,379000,460000,17000,813 Churton Pl,3,2,1824,252,44,5009,Sqft,2020,180, ,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
FOR SALE,459900,474782,447000,496000,8000,106 Scots Fir Ln,4,3,3083,149,57,9148,Sqft,1999,50, ,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
FOR SALE,489000,547305,487000,590000,10000,1018 Regency Cottage Pl,4,4,3531,138,69,6229,Sqft,2016,260, ,https://www.movoto.com/home/1018-regency-cottage-pl-cary-nc-27518-413_2327142
FOR SALE,415000,328174,290000,416000,15000,310 Canon Gate Dr,4,3,2131,,,,,,, ,https://www.movoto.com/home/310-canon-gate-dr-cary-nc-27518-413_2295981
FOR SALE,409900,387144,360000,428000,10000,805 Churton Pl,3,3,1698,,,,,,, ,https://www.movoto.com/home/805-churton-pl-cary-nc-27539-413_2318575
FOR SALE,465000,521118,465000,561000,,809 Churton Pl,3,3,2227,209,113,4792,Sqft,2020,180, ,https://www.movoto.com/home/809-churton-pl-cary-nc-27539-413_2318565
FOR SALE,439900,424992,395000,470000,4000,801 Churton Pl,3,3,1864,,,,,,, ,https://www.movoto.com/home/801-churton-pl-cary-nc-27539-413_2318560
FOR SALE,465000,416160,375000,465000,4000,1016 Regency Cottage Pl,4,3,2720,,,,,,, ,https://www.movoto.com/home/1016-regency-cottage-pl-cary-nc-27518-413_2198538
FOR SALE,299900,185888,172000,300000,,2601 Pink Acres St,3,2,1184,,,,,,, ,https://www.movoto.com/home/2601-pink-acres-st-cary-nc-27518-413_2306811
FOR SALE,495000,413400,382000,494000,50000,109 Putney Dr,4,3,2600,190,232,8015,Sqft,2021,40, ,https://www.movoto.com/home/109-putney-dr-cary-nc-27518-413_2296285
FOR SALE,500000,479668,447000,499000,30000,926 Regency Cottage Pl #LOT 117,4,4,3241,154,265,4356,Sqft,2020,265, ,https://www.movoto.com/home/926-regency-cottage-pl-lot-117-cary-nc-27518-413_2292478
SALE PENDING,488925,441636,397000,489000,,205 Foskey Dr,4,3,2964,165,8,9148,Sqft,2020,40, ,https://www.movoto.com/home/205-foskey-dr-cary-nc-27518-413_2339041
IN CONTRACT,400000,445315,399000,480000,15000,112 Felspar Way,4,3,2873,,,,,,, ,https://www.movoto.com/home/112-felspar-way-cary-nc-27518-pid_85ly43b5jh
IN CONTRACT,459900,,342000,618000,,108 Buckden Pl,4,3,2552,180,14,0.36,Acres,1990,27, ,https://www.movoto.com/home/108-buckden-pl-cary-nc-27518-413_2337918
SALE PENDING,350000,317280,295000,365000,,104 W Laurenbrook Ct,3,3,1983,177,19,7841,Sqft,1989,52, ,https://www.movoto.com/home/104-w-laurenbrook-ct-cary-nc-27518-413_2337073
IN CONTRACT,435000,386848,364000,435000,,106 Glenrose Ln,4,4,2512,173,22,0.26,Acres,1990,51, ,https://www.movoto.com/home/106-glenrose-ln-cary-nc-27518-413_2336265
IN CONTRACT,399900,389820,358000,409000,,117 Crilly Ln,4,3,2670,,,,,,, ,https://www.movoto.com/home/117-crilly-ln-cary-nc-27518-413_2336073
IN CONTRACT,444900,460410,420000,516000,,105 Aspen Hollow Ct,4,3,3090,144,26,0.31,Acres,1997,0, ,https://www.movoto.com/home/105-aspen-hollow-ct-cary-nc-27518-413_2320329
IN CONTRACT,439000,388512,343000,473000,,557 Angelica Cir,3,3,2272,193,26,4138,Sqft,2017,266, ,https://www.movoto.com/home/557-angelica-cir-cary-nc-27518-413_2335695
IN CONTRACT,430000,,429000,582000,,920 Bentbury Way,5,3,3002,143,27,6534,Sqft,2010,65, ,https://www.movoto.com/home/920-bentbury-way-cary-nc-27518-413_2215229
IN CONTRACT,469900,444204,378000,570000,,549 Angelica Cir,4,3,2742,171,27,4792,Sqft,2012,260, ,https://www.movoto.com/home/549-angelica-cir-cary-nc-27518-413_2335434
SALE PENDING,459900,418300,360000,489000,30000,319 Fairwinds Dr,4,3,2350,196,28,6534,Sqft,1990,51, ,https://www.movoto.com/home/319-fairwinds-dr-cary-nc-27518-413_2335202
SALE PENDING,499900,524216,494000,568000,,104 S Fern Abbey Ln,4,3,3404,147,32,0.25,Acres,1993,51, ,https://www.movoto.com/home/104-s-fern-abbey-ln-cary-nc-27518-413_2334634
IN CONTRACT,375000,,332000,375000,,126 Talon Dr,3,3,2003,,,,,,, ,https://www.movoto.com/home/126-talon-dr-cary-nc-27518-413_2318750
IN CONTRACT,435000,412920,386000,445000,15000,403 Canon Gate Dr,4,3,2664,163,34,0.25,Acres,1999,48, ,https://www.movoto.com/home/403-canon-gate-dr-cary-nc-27518-413_2333949
IN CONTRACT,500000,482313,440000,541000,,110 Gorge Ct,5,3,3237,154,36,0.34,Acres,1992,3, ,https://www.movoto.com/home/110-gorge-ct-cary-nc-27518-413_2333508
IN CONTRACT,409000,477400,409000,533000,,103 Jaslie Dr,4,3,3100,132,54,0.36,Acres,1998,51, ,https://www.movoto.com/home/103-jaslie-dr-cary-nc-27518-413_2250425
IN CONTRACT,385000,,273000,384000,10000,109 Quarter Path,3,3,1829,210,56,8276,Sqft,1992,122, ,https://www.movoto.com/home/109-quarter-path-cary-nc-27518-413_2134307
IN CONTRACT,499000,511190,449000,567000,16000,110 Woodgrove Ln,4,4,3298,151,70,0.42,Acres,1985,51, ,https://www.movoto.com/home/110-woodgrove-ln-cary-nc-27518-413_2326776
SALE PENDING,389900,344480,312000,390000,10000,10701 Bexhill Dr,3,3,2153,,,,,,, ,https://www.movoto.com/home/10701-bexhill-dr-cary-nc-27518-413_2172653
IN CONTRACT,275000,318835,276000,354000,10000,2712 Cowley Rd,3,2,2057,134,104,0.50,Acres,2011,0, ,https://www.movoto.com/home/2712-cowley-rd-cary-nc-27518-413_2320497
SALE PENDING,500000,450800,412000,515000,,105 Putney Dr,4,4,2800,179,194,8668,Sqft,2020,44, ,https://www.movoto.com/home/105-putney-dr-cary-nc-27518-413_2303213
