Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
355000,380680,334000,422000,15000,100 Royce Dr,4,3,2456,145,24,0.53,Acres,1994,16,,https://www.movoto.com/home/100-royce-dr-cary-nc-27518-413_2211163
399300,464402,394000,543000,5000,201 E Wind Ln,3,3,2609,153,32,4792,Sqft,1985,301,,https://www.movoto.com/home/201-e-wind-ln-cary-nc-27518-413_2305406
459900,395808,379000,460000,17000,813 Churton Pl,3,2,1824,252,44,5009,Sqft,2020,180,,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
459900,474782,447000,496000,8000,106 Scots Fir Ln,4,3,3083,149,57,9148,Sqft,1999,50,,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
489000,547305,487000,590000,10000,1018 Regency Cottage Pl,4,4,3531,138,69,6229,Sqft,2016,260,,https://www.movoto.com/home/1018-regency-cottage-pl-cary-nc-27518-413_2327142
415000,328174,290000,416000,15000,310 Canon Gate Dr,4,3,2131,,,,,,,,https://www.movoto.com/home/310-canon-gate-dr-cary-nc-27518-413_2295981
409900,387144,360000,428000,10000,805 Churton Pl,3,3,1698,,,,,,,,https://www.movoto.com/home/805-churton-pl-cary-nc-27539-413_2318575
439900,424992,395000,470000,4000,801 Churton Pl,3,3,1864,,,,,,,,https://www.movoto.com/home/801-churton-pl-cary-nc-27539-413_2318560
465000,416160,375000,465000,4000,1016 Regency Cottage Pl,4,3,2720,,,,,,,,https://www.movoto.com/home/1016-regency-cottage-pl-cary-nc-27518-413_2198538
495000,413400,382000,494000,50000,109 Putney Dr,4,3,2600,190,232,8015,Sqft,2021,40,,https://www.movoto.com/home/109-putney-dr-cary-nc-27518-413_2296285
500000,479668,447000,499000,30000,926 Regency Cottage Pl #LOT 117,4,4,3241,154,265,4356,Sqft,2020,265,,https://www.movoto.com/home/926-regency-cottage-pl-lot-117-cary-nc-27518-413_2292478
