Year,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,HOA,Open,Link
2021,495000,413400,382000,494000,50000,109 Putney Dr,4,3,2600,190,232,8015,Sqft,40,,https://www.movoto.com/home/109-putney-dr-cary-nc-27518-413_2296285
2020,459900,395808,379000,460000,17000,813 Churton Pl,3,2,1824,252,44,5009,Sqft,180,,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
2020,465000,521118,465000,561000,,809 Churton Pl,3,3,2227,209,113,4792,Sqft,180,,https://www.movoto.com/home/809-churton-pl-cary-nc-27539-413_2318565
2020,500000,479668,447000,499000,30000,926 Regency Cottage Pl #LOT 117,4,4,3241,154,265,4356,Sqft,265,,https://www.movoto.com/home/926-regency-cottage-pl-lot-117-cary-nc-27518-413_2292478
2016,489000,547305,487000,590000,10000,1018 Regency Cottage Pl,4,4,3531,138,69,6229,Sqft,260,,https://www.movoto.com/home/1018-regency-cottage-pl-cary-nc-27518-413_2327142
1999,459900,474782,447000,496000,8000,106 Scots Fir Ln,4,3,3083,149,57,9148,Sqft,50,,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
1995,444900,417888,389000,444000,,200 Danton Dr,4,4,2902,153,3,10019,Sqft,15,,https://www.movoto.com/home/200-danton-dr-cary-nc-27518-413_2331234
1994,355000,380680,334000,422000,15000,100 Royce Dr,4,3,2456,145,24,0.53,Acres,16,,https://www.movoto.com/home/100-royce-dr-cary-nc-27518-413_2211163
1992,469900,415863,379000,487000,,101 Weatherly Pl,4,3,2829,166,8,0.43,Acres,27,,https://www.movoto.com/home/101-weatherly-pl-cary-nc-27518-413_2339053
1990,409900,558558,411000,743000,,105 Durington Pl,4,3,3069,134,7,0.28,Acres,52,,https://www.movoto.com/home/105-durington-pl-cary-nc-27518-pid_jp4y43b5jh
1990,480000,498451,449000,551000,,108 Glenrose Ln,4,3,3301,145,12,0.27,Acres,51,,https://www.movoto.com/home/108-glenrose-ln-cary-nc-27518-413_2338528
1985,344000,425592,341000,518000,,103 Tiercel Ct,3,2,2056,167,5,7841,Sqft,13,,https://www.movoto.com/home/103-tiercel-ct-cary-nc-27518-413_2311892
1985,399300,464402,394000,543000,5000,201 E Wind Ln,3,3,2609,153,32,4792,Sqft,301,,https://www.movoto.com/home/201-e-wind-ln-cary-nc-27518-413_2305406
,475000,521520,475000,579000,,613 Churton Pl,3,3,2120,,,,,,,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
,415000,328174,290000,416000,15000,310 Canon Gate Dr,4,3,2131,,,,,,,https://www.movoto.com/home/310-canon-gate-dr-cary-nc-27518-413_2295981
,409900,387144,360000,428000,10000,805 Churton Pl,3,3,1698,,,,,,,https://www.movoto.com/home/805-churton-pl-cary-nc-27539-413_2318575
,439900,424992,395000,470000,4000,801 Churton Pl,3,3,1864,,,,,,,https://www.movoto.com/home/801-churton-pl-cary-nc-27539-413_2318560
,465000,416160,375000,465000,4000,1016 Regency Cottage Pl,4,3,2720,,,,,,,https://www.movoto.com/home/1016-regency-cottage-pl-cary-nc-27518-413_2198538
,299900,185888,172000,300000,,2601 Pink Acres St,3,2,1184,,,,,,,https://www.movoto.com/home/2601-pink-acres-st-cary-nc-27518-413_2306811
